ID,Latitude,Longitude,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
A011,-32.4795,23.1892,0.755479452,0.947671233,0.730819672,1.193753425,1.092712329,1.230410959,1.385355191,0.770794521,0.997424658,1.066931507,1.228743169,1.136356164,0.962493151,0.784246575,1.361174863,0.813835616,1.28169863,1.058630137,0.788196721,0.922109589,0.765945205,1.330246575,1.143087432,0.843561644,1.044794521,0.754684932,0.625300546,0.64909589,0.668657534,0.445534247,0.904863388,0.656447761
A012,-32.8402,24.2659,0.940849315,1.006465753,1.018114754,1.548849315,1.425178082,1.508547945,1.628743169,0.957342466,1.191479452,1.280958904,1.513169399,1.300219178,1.176383562,0.945041096,1.426557377,1.110547945,1.526054795,1.542,1.392814208,1.127232877,1.271123288,1.81739726,1.596010929,1.210986301,1.564931507,1.295616438,0.87295082,0.911178082,1.040849315,0.667972603,1.326010929,0.874716418
A013,-32.1638,24.1231,0.910273973,1.461671233,0.804672131,1.249068493,1.333643836,1.48169863,1.451038251,1.005260274,1.13460274,1.154767123,1.38442623,1.38090411,1.338383562,1.286246575,2.107923497,1.064931507,1.822712329,1.110164384,0.92557377,1.091863014,0.996191781,1.506246575,1.313879781,1.013643836,1.190054795,0.80169863,0.809836066,0.788328767,0.885479452,0.550136986,1.282131148,0.864746269
A014,-31.8844,24.8262,0.922438356,1.606821918,0.896311475,1.368821918,1.424767123,1.604,1.56215847,1.151342466,1.262849315,1.187890411,1.543934426,1.559890411,1.525123288,1.393561644,2.084016393,1.201643836,1.949589041,1.140054795,1.009808743,1.146547945,1.106575342,1.611643836,1.396939891,1.043479452,1.286712329,0.869452055,0.881639344,0.883068493,0.891890411,0.647369863,1.433005464,0.986059701
A015,-32.1638,25.5293,0.941287671,1.854493151,1.055218579,1.628,1.44090411,1.672438356,1.797896175,1.429315068,1.567506849,1.275835616,1.974617486,2.029726027,1.871726027,1.421123288,1.788087432,1.60490411,2.169561644,1.205150685,1.350901639,1.275424658,1.337506849,1.848054795,1.621939891,1.071506849,1.479013699,0.898410959,0.899043716,0.919671233,0.885945205,0.672410959,1.471857923,1.02038806
A016,-32.0801,26.8587,1.338712329,2.314164384,1.28795082,2.458739726,1.994493151,2.298219178,2.438060109,1.996054795,2.286849315,1.817068493,2.695601093,2.830328767,2.531945205,2.062465753,2.319480874,2.274273973,2.964821918,1.637068493,1.877404372,1.659890411,1.823123288,2.421205479,2.022513661,1.541835616,1.919424658,1.527068493,1.38295082,1.841589041,1.524027397,1.345342466,2.184344262,1.74958209
A017,-31.931,28.3308,2.005835616,2.855123288,1.953114754,2.798383562,2.517068493,3.129013699,2.92147541,2.547013699,2.990493151,2.623260274,3.897513661,3.961424658,2.903643836,2.349506849,2.80273224,3.088520548,4.050876712,2.427917808,3.176311475,2.619835616,2.89909589,3.838219178,3.15863388,2.523589041,2.53860274,2.400328767,2.449344262,2.636465753,2.487863014,2.281506849,2.68568306,2.688895522
A018,-32.3404,28.3418,2.096630137,3.092410959,2.100901639,3.114356164,2.750986301,3.149452055,3.184043716,3.072356164,3.536383562,3.036575342,3.987868852,3.972739726,3.544383562,2.426054795,2.944726776,3.448630137,4.73430137,2.43369863,3.545464481,2.424876712,2.964739726,4.357917808,3.236557377,2.868136986,2.88709589,2.846054795,2.799863388,3.138,2.497452055,2.674136986,3.21273224,3.248776119
A019,-30.5219,25.8369,0.744,1.492191781,0.518825137,1.031561644,0.865068493,1.053287671,1.431967213,1.096109589,1.265945205,0.766383562,1.150355191,1.633369863,1.018082192,0.933506849,1.275191257,0.975506849,1.74769863,1.003315068,1.016174863,1.103616438,1.092383562,1.299178082,0.892459016,0.638027397,0.879753425,0.752465753,0.883497268,0.784328767,0.985205479,0.891287671,1.194016393,1.091432836
A020,-30.9374,26.3973,0.875506849,1.695726027,0.631120219,1.274575342,1.08709589,1.229506849,1.640737705,1.253506849,1.464876712,0.947671233,1.465601093,1.862109589,1.329342466,1.138547945,1.449153005,1.246,2.061013699,1.100356164,1.176174863,1.304876712,1.189232877,1.497013699,1.149945355,0.839589041,1.107178082,0.786767123,1.023551913,1.014821918,1.057205479,0.922054795,1.437978142,1.305432836
